PID,Name,CPU%,Memory%,Cluster
594,kworker/u48:28-events_unbound,0.6,0.0,2
595,kworker/u48:29-events_unbound,0.0,0.0,2
601,kworker/1:2-events,0.0,0.0,2
648,kworker/R-cfg80211,0.0,0.0,2
650,kworker/6:2-events,0.0,0.0,2
657,kworker/R-cryptd,0.0,0.0,2
690,kworker/5:2-mm_percpu_wq,0.0,0.0,2
719,irq/75-rtw89_pci,0.3,0.0,2
801,kworker/R-amdgpu-reset-dev,0.0,0.0,2
819,nv_queue,0.0,0.0,2
820,nv_queue,0.0,0.0,2
821,nv_open_q,0.0,0.0,2
826,kworker/R-ttm,0.0,0.0,2
958,nvidia-modeset/kthread_q,0.0,0.0,2
959,nvidia-modeset/deferred_close_kthread_q,0.0,0.0,2
961,irq/81-nvidia,0.0,0.0,2
962,nvidia,0.0,0.0,2
963,nv_queue,0.0,0.0,2
964,kworker/9:2-mm_percpu_wq,0.0,0.0,2
966,systemd-oomd,0.0,0.0531462825291414,2
967,systemd-resolved,0.0,0.09535816243267,2
968,systemd-timesyncd,0.0,0.0548980472908675,2
1041,avahi-daemon,0.0,0.0304581034377535,2
1042,bluetoothd,0.0,0.0437941190431521,2
1043,dbus-daemon,0.0,0.0481170224067665,2
1046,gnome-remote-desktop-daemon,0.0,0.1121129447504695,2
1060,polkitd,0.0,0.0705226587946502,2
1063,power-profiles-daemon,0.0,0.0483430565695699,2
1067,snapd,0.0,0.2696305019540653,2
1068,accounts-daemon,0.0,0.0532027910698423,2
1069,cron,0.0,0.018873852594081,2
1070,switcheroo-control,0.0,0.0467890717002967,2
1072,systemd-logind,0.0,0.0624984460151307,2
1074,udisksd,0.0,0.105162394244266,2
1077,avahi-daemon,0.0,0.0088435866196816,2
1084,rsyslogd,0.0,0.0429182366622891,2
1132,kworker/0:3-events,0.0,0.0,2
1141,NetworkManager,0.0,0.1343208012459003,2
1149,wpa_supplicant,0.0,0.0781795660596142,2
1165,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0,2
1166,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0,2
1167,kworker/R-dm_vblank_control_workqueue,0.0,0.0,2
1177,ModemManager,0.0,0.0828415206674336,2
1185,card1-crtc0,0.0,0.0,2
1186,card1-crtc1,0.0,0.0,2
1187,card1-crtc2,0.0,0.0,2
1188,card1-crtc3,0.0,0.0,2
1413,UVM global queue,0.0,0.0,2
1417,UVM deferred release queue,0.0,0.0,2
1418,UVM Tools Event Queue,0.0,0.0,2
1558,nvidia-persistenced,0.0,0.0141271351752103,2
1567,cupsd,0.0,0.0830110462895362,2
1570,canonical-livepatchd,0.0,0.081118010176058,2
1574,unattended-upgr,0.0,0.1582804225030571,2
1595,colord,0.0,0.0978727924938575,2
1603,gdm3,0.0,0.0608314440644559,2
1740,rtkit-daemon,0.0,0.0237335870943534,2
1845,krfcommd,0.0,0.0,2
1889,cups-browsed,0.0,0.1417234200777105,2
1896,kerneloops,0.0,0.0162462054514919,2
1899,kerneloops,0.0,0.0159071542072868,2
2178,upowerd,0.0,0.072189660745325,2
2541,gdm-session-worker,0.0,0.0748173078879141,2
2558,systemd,0.0,0.0970251643833449,2
2563,(sd-pam),0.0,0.0257961488299341,2
2576,pipewire,0.5,0.0985226407119172,2
2577,pipewire,0.0,0.0406578950342554,2
2581,wireplumber,0.0,0.1277940647949531,2
2582,pipewire-pulse,0.8,0.1471482399849913,2
2584,gnome-keyring-daemon,0.0,0.0722461692860259,2
2596,dbus-daemon,0.1,0.0464500204560917,2
2641,xdg-document-portal,0.0,0.0492754474911338,2
2645,xdg-permission-store,0.0,0.0417880658482723,2
2652,fusermount3,0.0,0.013703321119954,2
2690,gdm-wayland-session,0.0,0.0398102669237428,2
2702,gnome-session-binary,0.0,0.1138929637825461,2
