PID,Name,CPU%,Memory%
90,kworker/R-inet_frag_wq,0.0,0.0
92,kauditd,0.0,0.0
93,khungtaskd,0.0,0.0
94,oom_reaper,0.0,0.0
96,kworker/R-writeback,0.0,0.0
97,kcompactd0,0.0,0.0
98,ksmd,0.0,0.0
99,khugepaged,0.0,0.0
100,kworker/R-kintegrityd,0.0,0.0
101,kworker/R-kblockd,0.0,0.0
102,kworker/R-blkcg_punt_bio,0.0,0.0
103,irq/9-acpi,0.0,0.0
104,kworker/2:1-mm_percpu_wq,0.0,0.0
106,kworker/R-tpm_dev_wq,0.0,0.0
107,kworker/R-ata_sff,0.0,0.0
108,kworker/R-md,0.0,0.0
109,kworker/R-md_bitmap,0.0,0.0
110,kworker/R-edac-poller,0.0,0.0
111,kworker/R-devfreq_wq,0.0,0.0
112,watchdogd,0.0,0.0
113,kworker/2:1H-kblockd,0.0,0.0
114,kworker/8:1-cgroup_destroy,0.0,0.0
115,irq/25-AMD-Vi0-Evt,0.0,0.0
116,irq/26-AMD-Vi0-PPR,0.0,0.0
117,irq/27-AMD-Vi0-GA,0.0,0.0
118,kswapd0,0.0,0.0
119,ecryptfs-kthread,0.0,0.0
120,kworker/R-kthrotld,0.0,0.0
121,irq/30-pciehp,0.0,0.0
122,kworker/R-acpi_thermal_pm,0.0,0.0
123,kworker/2:2-events,0.0,0.0
125,kworker/R-mld,0.0,0.0
126,kworker/R-ipv6_addrconf,0.0,0.0
128,kworker/6:1H-kblockd,0.0,0.0
134,kworker/R-kstrp,0.0,0.0
135,kworker/3:1-events,0.0,0.0
136,kworker/10:1-events,0.0,0.0
137,kworker/4:1-cgroup_destroy,0.0,0.0
154,kworker/R-charger_manager,0.0,0.0
155,kworker/0:1H-kblockd,0.0,0.0
180,kworker/9:1H-kblockd,0.0,0.0
183,kworker/10:1H-kblockd,0.0,0.0
215,kworker/11:1H-kblockd,0.0,0.0
216,kworker/7:1H-kblockd,0.0,0.0
217,kworker/3:1H-kblockd,0.0,0.0
221,kworker/8:1H-kblockd,0.0,0.0
226,kworker/5:1H-kblockd,0.0,0.0
227,kworker/4:1H-kblockd,0.0,0.0
229,kworker/1:1H-kblockd,0.0,0.0
232,irq/34-MSFT0002:00,0.0,0.0
285,kworker/8:2-events,0.0,0.0
286,scsi_eh_0,0.0,0.0
287,kworker/R-scsi_tmf_0,0.0,0.0
288,scsi_eh_1,0.0,0.0
289,kworker/R-scsi_tmf_1,0.0,0.0
291,kworker/R-nvme-wq,0.0,0.0
292,kworker/R-nvme-reset-wq,0.0,0.0
293,kworker/R-nvme-delete-wq,0.0,0.0
294,kworker/R-nvme-auth-wq,0.0,0.0
297,kworker/4:3-events,0.0,0.0
300,kworker/7:2-cgroup_destroy,0.0,0.0
338,jbd2/sda2-8,0.0,0.0
339,kworker/R-ext4-rsv-conversion,0.0,0.0
393,systemd-journald,0.0,0.12177590521031348
469,systemd-udevd,0.0,0.05922095065448192
528,psimon,0.0,0.0
569,kworker/u48:10+events_unbound,0.3,0.0
594,kworker/u48:28-events_unbound,0.6,0.0
595,kworker/u48:29-events_unbound,0.0,0.0
601,kworker/1:2-events,0.0,0.0
648,kworker/R-cfg80211,0.0,0.0
650,kworker/6:2-events,0.0,0.0
657,kworker/R-cryptd,0.0,0.0
690,kworker/5:2-mm_percpu_wq,0.0,0.0
719,irq/75-rtw89_pci,0.3,0.0
801,kworker/R-amdgpu-reset-dev,0.0,0.0
819,nv_queue,0.0,0.0
820,nv_queue,0.0,0.0
821,nv_open_q,0.0,0.0
826,kworker/R-ttm,0.0,0.0
958,nvidia-modeset/kthread_q,0.0,0.0
959,nvidia-modeset/deferred_close_kthread_q,0.0,0.0
961,irq/81-nvidia,0.0,0.0
962,nvidia,0.0,0.0
963,nv_queue,0.0,0.0
964,kworker/9:2-mm_percpu_wq,0.0,0.0
966,systemd-oomd,0.0,0.053146282529141456
967,systemd-resolved,0.0,0.09535816243267006
968,systemd-timesyncd,0.0,0.054898047290867544
1041,avahi-daemon,0.0,0.03045810343775358
1042,bluetoothd,0.0,0.04379411904315218
1043,dbus-daemon,0.0,0.04811702240676656
1046,gnome-remote-desktop-daemon,0.0,0.11211294475046958
1060,polkitd,0.0,0.07052265879465022
1063,power-profiles-daemon,0.0,0.04834305656956992
1067,snapd,0.0,0.26963050195406535
1068,accounts-daemon,0.0,0.0532027910698423
1069,cron,0.0,0.01887385259408107
1070,switcheroo-control,0.0,0.04678907170029679
1072,systemd-logind,0.0,0.06249844601513072
1074,udisksd,0.0,0.10516239424426609
1077,avahi-daemon,0.0,0.008843586619681699
1084,rsyslogd,0.0,0.04291823666228914
1132,kworker/0:3-events,0.0,0.0
1141,NetworkManager,0.0,0.13432080124590032
1149,wpa_supplicant,0.0,0.07817956605961425
1165,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
1166,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
1167,kworker/R-dm_vblank_control_workqueue,0.0,0.0
1177,ModemManager,0.0,0.08284152066743368
1185,card1-crtc0,0.0,0.0
1186,card1-crtc1,0.0,0.0
1187,card1-crtc2,0.0,0.0
1188,card1-crtc3,0.0,0.0
1413,UVM global queue,0.0,0.0
1417,UVM deferred release queue,0.0,0.0
1418,UVM Tools Event Queue,0.0,0.0
1558,nvidia-persistenced,0.0,0.014127135175210382
1567,cupsd,0.0,0.0830110462895362
1570,canonical-livepatchd,0.0,0.081118010176058
1574,unattended-upgr,0.0,0.15828042250305713
1595,colord,0.0,0.09787279249385751
1603,gdm3,0.0,0.060831444064455904
1740,rtkit-daemon,0.0,0.023733587094353442
1845,krfcommd,0.0,0.0
1889,cups-browsed,0.0,0.14172342007771055
1896,kerneloops,0.0,0.01624620545149194
1899,kerneloops,0.0,0.01590715420728689
2178,upowerd,0.0,0.07218966074532504
